0.02600000	-0.01388976	-0.00992566
0.02600000	-0.01246083	-0.00891286
0.02600000	-0.01094276	-0.00805033
0.02600000	-0.00941672	-0.00724626
0.02600000	-0.00790414	-0.00647868
0.02600000	-0.00642059	-0.00573411
0.02600000	-0.00498087	-0.00500063
0.02600000	-0.00360016	-0.00426655
0.02600000	-0.00229611	-0.00351775
0.02600000	-0.00109155	-0.00273576
0.02600000	-0.00000216	-0.00191949
0.02600000	0.00096345	-0.00108000
0.02600000	0.00179502	-0.00022709
0.02600000	0.00248882	0.00062242
0.02600000	0.00304394	0.00145044
0.02600000	0.00346083	0.00223884
0.02600000	0.00374331	0.00296815
0.02600000	0.00387596	0.00362288
0.02600000	0.00385790	0.00417327
0.02600000	0.00373845	0.00458793
0.02600000	0.00359577	0.00486323
0.02600000	0.00348666	0.00501488
0.02600000	0.00344660	0.00506274
0.02600000	0.00340435	0.00511013
0.02600000	0.00326737	0.00524182
0.02600000	0.00301246	0.00542787
0.02600000	0.00262162	0.00562863
0.02600000	0.00208288	0.00578354
0.02600000	0.00140465	0.00582567
0.02600000	0.00061408	0.00573760
0.02600000	-0.00026603	0.00551811
0.02600000	-0.00121457	0.00515988
0.02600000	-0.00220905	0.00465435
0.02600000	-0.00323016	0.00400212
0.02600000	-0.00426260	0.00320979
0.02600000	-0.00529110	0.00228264
0.02600000	-0.00630711	0.00123297
0.02600000	-0.00730232	0.00007146
0.02600000	-0.00827648	-0.00118588
0.02600000	-0.00923717	-0.00251939
0.02600000	-0.01018782	-0.00391484
0.02600000	-0.01114189	-0.00535266
0.02600000	-0.01209531	-0.00682672
0.02600000	-0.01303442	-0.00833895
0.02831091	-0.01462026	-0.00951219
0.02831091	-0.01313574	-0.00856687
0.02831091	-0.01158771	-0.00774580
0.02831091	-0.01003881	-0.00697211
0.02831091	-0.00851199	-0.00621839
0.02831091	-0.00702318	-0.00546981
0.02831091	-0.00558369	-0.00472189
0.02831091	-0.00420329	-0.00397404
0.02831091	-0.00289301	-0.00322395
0.02831091	-0.00167867	-0.00244643
0.02831091	-0.00057069	-0.00164608
0.02831091	0.00042610	-0.00083552
0.02831091	0.00130709	-0.00002651
0.02831091	0.00206294	0.00077450
0.02831091	0.00268917	0.00155538
0.02831091	0.00318371	0.00230192
0.02831091	0.00354432	0.00299961
0.02831091	0.00376348	0.00363381
0.02831091	0.00383236	0.00418259
0.02831091	0.00377867	0.00461231
0.02831091	0.00367461	0.00490561
0.02831091	0.00357743	0.00506584
0.02831091	0.00353948	0.00511570
0.02831091	0.00349806	0.00516472
0.02831091	0.00335863	0.00529675
0.02831091	0.00308994	0.00546848
0.02831091	0.00268041	0.00564060
0.02831091	0.00212690	0.00576424
0.02831091	0.00144013	0.00579674
0.02831091	0.00063911	0.00572194
0.02831091	-0.00025790	0.00553031
0.02831091	-0.00123208	0.00521072
0.02831091	-0.00226298	0.00475279
0.02831091	-0.00332751	0.00414660
0.02831091	-0.00440803	0.00339547
0.02831091	-0.00549239	0.00250986
0.02831091	-0.00656459	0.00149402
0.02831091	-0.00761071	0.00035509
0.02831091	-0.00862810	-0.00089037
0.02831091	-0.00963910	-0.00220923
0.02831091	-0.01064098	-0.00359153
0.02831091	-0.01164766	-0.00501641
0.02831091	-0.01266490	-0.00647052
0.02831091	-0.01367866	-0.00795632
0.03062182	-0.01530828	-0.00915901
0.03062182	-0.01377886	-0.00825446
0.03062182	-0.01220037	-0.00745784
0.03062182	-0.01062665	-0.00669871
0.03062182	-0.00907957	-0.00595042
0.03062182	-0.00757432	-0.00519988
0.03062182	-0.00612108	-0.00444536
0.03062182	-0.00472748	-0.00369083
0.03062182	-0.00340245	-0.00293786
0.03062182	-0.00216904	-0.00216498
0.03062182	-0.00103644	-0.00137699
0.03062182	-0.00000742	-0.00058761
0.03062182	0.00091542	0.00019105
0.03062182	0.00172392	0.00095423
0.03062182	0.00241186	0.00169439
0.03062182	0.00297388	0.00240245
0.03062182	0.00340429	0.00306830
0.03062182	0.00369452	0.00368047
0.03062182	0.00383393	0.00422123
0.03062182	0.00383596	0.00465824
0.03062182	0.00376156	0.00496324
0.03062182	0.00367414	0.00513084
0.03062182	0.00363768	0.00518252
0.03062182	0.00359684	0.00523307
0.03062182	0.00345519	0.00536614
0.03062182	0.00317721	0.00553015
0.03062182	0.00275437	0.00568355
0.03062182	0.00218900	0.00578550
0.03062182	0.00149294	0.00580804
0.03062182	0.00068143	0.00573520
0.03062182	-0.00022975	0.00555462
0.03062182	-0.00122351	0.00525392
0.03062182	-0.00228046	0.00482066
0.03062182	-0.00337866	0.00424370
0.03062182	-0.00450040	0.00352435
0.03062182	-0.00563216	0.00267052
0.03062182	-0.00675561	0.00168324
0.03062182	-0.00785287	0.00056603
0.03062182	-0.00891991	-0.00066413
0.03062182	-0.00998027	-0.00197076
0.03062182	-0.01103793	-0.00333815
0.03062182	-0.01210837	-0.00474335
0.03062182	-0.01319643	-0.00617294
0.03062182	-0.01428609	-0.00763105
0.03293273	-0.01599568	-0.00888291
