Node_ID	X(mm)	Y(mm)	Z(mm)
31	1.663936954	-6.428836046	39.750000000
32	3.398687109	-5.636874924	39.750000000
33	5.236725062	-4.690841468	39.750000000
34	7.143281025	-3.561704236	39.750000000
35	9.091549079	-2.243809513	39.750000000
36	11.054974833	-0.736459734	39.750000000
37	13.014032142	0.949670951	39.750000000
38	14.936671337	2.816370859	39.750000000
39	16.904342586	4.752388031	39.750000000
40	18.945581411	6.706638955	39.750000000
41	21.033146366	8.686207081	39.750000000
42	23.128103376	10.712962206	39.750000000
43	25.140976370	12.856010465	39.750000000
1	26.155716455	12.719060825	42.300000000
2	23.510794754	11.458320852	42.300000000
3	20.871402253	10.233018711	42.300000000
4	18.272425195	9.005704330	42.300000000
5	15.732112258	7.772094750	42.300000000
6	13.258924208	6.549296189	42.300000000
7	10.865074550	5.346858367	42.300000000
8	8.570744640	4.158359092	42.300000000
9	6.412859393	2.947073433	42.300000000
10	4.378867669	1.767041107	42.300000000
11	2.483654263	0.620137291	42.300000000
12	0.737850841	-0.485696751	42.300000000
13	-0.852992658	-1.536161969	42.300000000
14	-2.288020617	-2.512189884	42.300000000
15	-3.556697806	-3.411153870	42.300000000
16	-4.643797020	-4.237536180	42.300000000
17	-5.530685626	-4.998246553	42.300000000
18	-6.196610652	-5.696143153	42.300000000
19	-6.617574658	-6.322637059	42.300000000
20	-6.751794648	-6.844147228	42.300000000
21	-6.700689726	-7.165404139	42.300000000
22	-6.651875648	-7.263020443	42.300000000
23	-6.586382537	-7.353283696	42.300000000
24	-6.330958240	-7.566881283	42.300000000
25	-5.824734636	-7.790704183	42.300000000
26	-5.067791615	-7.939868472	42.300000000
27	-4.082997424	-7.963847655	42.300000000
28	-2.897500020	-7.829706456	42.300000000
29	-1.539143955	-7.514860369	42.300000000
30	-0.032592216	-7.013122499	42.300000000
31	1.605276167	-6.335354201	42.300000000
32	3.367215292	-5.506262260	42.300000000
33	5.243389610	-4.538955932	42.300000000
34	7.198251064	-3.399653668	42.300000000
35	9.208333694	-2.084978293	42.300000000
36	11.251419812	-0.596826280	42.300000000
37	13.310226770	1.054630548	42.300000000
38	15.340081405	2.889474667	42.300000000
39	17.427863729	4.782970618	42.300000000
40	19.593670896	6.689383902	42.300000000
41	21.803618019	8.624163224	42.300000000
42	24.017994942	10.611894108	42.300000000
43	26.155716455	12.719060825	42.300000000
1	27.103242349	12.580642189	44.850000000
2	24.374869628	11.343336230	44.850000000
3	21.667544139	10.112164465	44.850000000
4	19.006261596	8.868483700	44.850000000
5	16.405910225	7.615892445	44.850000000
6	13.874801550	6.372822167	44.850000000
7	11.424669390	5.150640577	44.850000000
8	9.074088179	3.946671478	44.850000000
9	6.859969019	2.724002267	44.850000000
10	4.770025870	1.537088411	44.850000000
11	2.819564956	0.387240167	44.850000000
12	1.020477719	-0.719450987	44.850000000
13	-0.620397656	-1.770223849	44.850000000
14	-2.102449887	-2.744911908	44.850000000
15	-3.418310386	-3.636119110	44.850000000
16	-4.555477509	-4.445433234	44.850000000
17	-5.497105213	-5.180184213	44.850000000
18	-6.223694005	-5.846949061	44.850000000
19	-6.710920963	-6.445558261	44.850000000
20	-6.906835137	-6.959997931	44.850000000
21	-6.880767614	-7.290650488	44.850000000
22	-6.833602452	-7.391691333	44.850000000
23	-6.767341785	-7.484065115	44.850000000
24	-6.503618853	-7.697577565	44.850000000
25	-5.981418240	-7.911444112	44.850000000
26	-5.205654442	-8.041946922	44.850000000
27	-4.201216324	-8.040620300	44.850000000
28	-2.996196698	-7.874011017	44.850000000
29	-1.619261029	-7.519911894	44.850000000
30	-0.094947612	-6.974100718	44.850000000
31	1.561967377	-6.252097786	44.850000000
32	3.348718570	-5.386196706	44.850000000
33	5.257759472	-4.392195869	44.850000000
34	7.255436578	-3.238065367	44.850000000
35	9.321772247	-1.923498437	44.850000000
36	11.438178929	-0.452689329	44.850000000
37	13.589115104	1.164675977	44.850000000
38	15.727506149	2.956690701	44.850000000
39	17.931779966	4.800563785	44.850000000
40	20.211248399	6.660214857	44.850000000
41	22.530690592	8.554331648	44.850000000
42	24.851791843	10.507509840	44.850000000
43	27.103242349	12.580642189	44.850000000
1	27.948034577	12.412356628	47.400000000
2	25.143071336	11.205308391	47.400000000
3	22.373149227	9.976421858	47.400000000
4	19.654286632	8.725281937	47.400000000
5	16.998399911	7.462612895	47.400000000
6	14.414066185	6.207264851	47.400000000
7	11.913107726	4.971235505	47.400000000
8	9.512786248	3.755030948	47.400000000
9	7.246231629	2.528719676	47.400000000
10	5.105882047	1.338882404	47.400000000
11	3.106871942	0.187442425	47.400000000
12	1.261803229	-0.920372623	47.400000000
13	-0.421089563	-1.973537780	47.400000000
14	-1.940577593	-2.952100625	47.400000000
15	-3.293201520	-3.842298188	47.400000000
16	-4.469838397	-4.641057150	47.400000000
17	-5.455695873	-5.354633115	47.400000000
18	-6.232367757	-5.992353624	47.400000000
19	-6.775414311	-6.561596073	47.400000000
20	-7.030548661	-7.061661158	47.400000000
21	-7.030428784	-7.398531361	47.400000000
22	-6.985036473	-7.502630494	47.400000000
23	-6.918159463	-7.596911141	47.400000000
24	-6.646903200	-7.809958223	47.400000000
25	-6.110618557	-8.014321721	47.400000000
26	-5.318780401	-8.129224650	47.400000000
27	-4.297380449	-8.108493791	47.400000000
28	-3.074887460	-7.917952585	47.400000000
29	-1.680551183	-7.534885840	47.400000000
30	-0.139093522	-6.955581745	47.400000000
31	1.535951953	-6.198366272	47.400000000
32	3.344840207	-5.300632401	47.400000000
33	5.281258061	-4.279691666	47.400000000
34	7.315871181	-3.110702392	47.400000000
35	9.431682997	-1.796213164	47.400000000
36	11.612751350	-0.342144055	47.400000000
37	13.844739987	1.242193348	47.400000000
38	16.086514092	2.981979529	47.400000000
39	18.396303896	4.772936438	47.400000000
40	20.773727527	6.589322894	47.400000000
41	23.186107124	8.448149982	47.400000000
42	25.598012327	10.371599608	47.400000000
43	27.948034577	12.412356628	47.400000000
1	28.663802743	12.190775364	49.950000000
2	25.793042891	11.019738593	49.950000000
3	22.968841580	9.802131738	49.950000000
4	20.199754073	8.553835950	49.950000000
5	17.495305633	7.291554051	49.950000000
6	14.864604229	6.033904475	49.950000000
7	12.319957544	4.792611215	49.950000000
8	9.877741897	3.570476554	49.950000000
9	7.565101111	2.348953559	49.950000000
10	5.381589734	1.161930500	49.950000000
11	3.341910635	0.012470914	49.950000000
12	1.458944489	-1.094300446	49.950000000
13	-0.257762953	-2.149020311	49.950000000
14	-1.805758140	-3.132966584	49.950000000
15	-3.185753587	-4.025351443	49.950000000
16	-4.392275622	-4.817522402	49.950000000
17	-5.412547897	-5.513746610	49.950000000
18	-6.228857397	-6.125370415	49.950000000
19	-6.816484471	-6.666298833	49.950000000
20	-7.123085004	-7.147295293	49.950000000
21	-7.147146880	-7.487140285	49.950000000
22	-7.103550555	-7.593784982	49.950000000
23	-7.036306552	-7.689708479	49.950000000
24	-6.759002560	-7.902375003	49.950000000
25	-6.211603639	-8.099378338	49.950000000
26	-5.407233102	-8.203948642	49.950000000
27	-4.372090505	-8.172147738	49.950000000
28	-3.134478148	-7.968834720	49.950000000
29	-1.724021921	-7.569911476	49.950000000
30	-0.165997177	-6.970787341	49.950000000
31	1.526316100	-6.190814733	49.950000000
32	3.354636131	-5.270147698	49.950000000
33	5.313365848	-4.227285545	49.950000000
34	7.378867763	-3.047536715	49.950000000
35	9.536352000	-1.735678580	49.950000000
