1	0.015331071	0.019004193	0.026000000
2	0.013523704	0.016929014	0.026000000
3	0.011527683	0.015052658	0.026000000
4	0.009505620	0.013263034	0.026000000
5	0.007500555	0.011535301	0.026000000
6	0.005546668	0.009852486	0.026000000
7	0.003676830	0.008199810	0.026000000
8	0.001925747	0.006562526	0.026000000
9	0.000342516	0.004915952	0.026000000
10	-0.001037315	0.003257633	0.026000000
11	-0.002200420	0.001609584	0.026000000
12	-0.003133699	-0.000004523	0.026000000
13	-0.003837628	-0.001552343	0.026000000
14	-0.004319457	-0.003000020	0.026000000
15	-0.004591346	-0.004313962	0.026000000
16	-0.004656670	-0.005460831	0.026000000
17	-0.004500600	-0.006396189	0.026000000
18	-0.004183422	-0.007068697	0.026000000
19	-0.003848567	-0.007486109	0.026000000
20	-0.003606411	-0.007699431	0.026000000
21	-0.003519460	-0.007763274	0.026000000
22	-0.003428568	-0.007824742	0.026000000
23	-0.003140633	-0.007982338	0.026000000
24	-0.002628679	-0.008168360	0.026000000
25	-0.001881796	-0.008294128	0.026000000
26	-0.000918887	-0.008231192	0.026000000
27	0.000202755	-0.007903643	0.026000000
28	0.001434607	-0.007316587	0.026000000
29	0.002734816	-0.006469422	0.026000000
30	0.004058807	-0.005356818	0.026000000
31	0.005368880	-0.003985603	0.026000000
32	0.006639085	-0.002374411	0.026000000
33	0.007845698	-0.000541448	0.026000000
34	0.008977860	0.001487622	0.026000000
35	0.010027776	0.003688398	0.026000000
36	0.011012478	0.006028000	0.026000000
37	0.011944242	0.008479894	0.026000000
38	0.012855820	0.011013347	0.026000000
39	0.013754188	0.013610097	0.026000000
40	0.014618735	0.016264684	0.026000000
41	0.015331071	0.019004193	0.026000000
1	0.017116133	0.018581268	0.029875000
2	0.015145186	0.016618462	0.029875000
3	0.013053468	0.014810746	0.029875000
4	0.010961906	0.013062865	0.029875000
5	0.008916823	0.011342907	0.029875000
6	0.006951496	0.009635062	0.029875000
7	0.005078035	0.007949802	0.029875000
8	0.003311527	0.006294489	0.029875000
9	0.001695446	0.004648455	0.029875000
10	0.000257753	0.003011449	0.029875000
11	-0.001000701	0.001409363	0.029875000
12	-0.002079561	-0.000134105	0.029875000
13	-0.002965903	-0.001605097	0.029875000
14	-0.003653783	-0.002984092	0.029875000
15	-0.004139891	-0.004249009	0.029875000
16	-0.004420417	-0.005375212	0.029875000
17	-0.004482328	-0.006331619	0.029875000
18	-0.004340607	-0.007068770	0.029875000
19	-0.004101856	-0.007553097	0.029875000
20	-0.003889986	-0.007799853	0.029875000
21	-0.003807138	-0.007870552	0.029875000
22	-0.003716996	-0.007936734	0.029875000
23	-0.003420313	-0.008090474	0.029875000
24	-0.002882613	-0.008227483	0.029875000
25	-0.002111624	-0.008270866	0.029875000
26	-0.001134594	-0.008146224	0.029875000
27	0.000010970	-0.007817202	0.029875000
28	0.001289230	-0.007267743	0.029875000
