0.02350000	-0.00526707	-0.00947492
0.02350000	-0.00425472	-0.00860033
0.02350000	-0.00329289	-0.00769586
0.02350000	-0.00236324	-0.00678398
0.02350000	-0.00145853	-0.00587832
0.02350000	-0.00057788	-0.00498745
0.02350000	0.00027607	-0.00411701
0.02350000	0.00109872	-0.00327091
0.02350000	0.00188444	-0.00245198
0.02350000	0.00262694	-0.00166226
0.02350000	0.00331957	-0.00090331
0.02350000	0.00395555	-0.00017648
0.02350000	0.00452821	0.00051674
0.02350000	0.00503148	0.00117419
0.02350000	0.00546049	0.00179244
0.02350000	0.00581254	0.00236632
0.02350000	0.00608822	0.00288859
0.02350000	0.00629229	0.00335040
0.02350000	0.00640837	0.00374885
0.02350000	0.00634005	0.00406347
0.02350000	0.00620244	0.00425217
0.02350000	0.00609787	0.00434665
0.02350000	0.00605976	0.00437431
0.02350000	0.00601821	0.00440122
0.02350000	0.00588254	0.00445966
0.02350000	0.00563864	0.00448922
0.02350000	0.00529607	0.00447664
0.02350000	0.00486191	0.00442004
0.02350000	0.00435018	0.00428076
0.02350000	0.00377234	0.00405396
0.02350000	0.00314013	0.00373644
0.02350000	0.00246609	0.00332292
0.02350000	0.00176169	0.00281223
0.02350000	0.00103766	0.00220512
0.02350000	0.00030451	0.00150332
0.02350000	-0.00042701	0.00070915
0.02350000	-0.00114576	-0.00017451
0.02350000	-0.00184041	-0.00114392
0.02350000	-0.00250030	-0.00219390
0.02350000	-0.00311665	-0.00331758
0.02350000	-0.00368352	-0.00450675
0.02350000	-0.00419726	-0.00575350
0.02350000	-0.00465367	-0.00705289
0.02350000	-0.00504270	-0.00840668
0.02588545	-0.00598411	-0.00994565
0.02588545	-0.00493208	-0.00897221
0.02588545	-0.00391178	-0.00798352
0.02588545	-0.00291354	-0.00699648
0.02588545	-0.00193498	-0.00602195
0.02588545	-0.00097791	-0.00506720
0.02588545	-0.00004655	-0.00413732
0.02588545	0.00085351	-0.00323600
0.02588545	0.00171587	-0.00236595
0.02588545	0.00253360	-0.00152913
0.02588545	0.00329952	-0.00072700
0.02588545	0.00400626	0.00003935
0.02588545	0.00464649	0.00076881
0.02588545	0.00521318	0.00145988
0.02588545	0.00570006	0.00211006
0.02588545	0.00610247	0.00271518
0.02588545	0.00641854	0.00326873
0.02588545	0.00665089	0.00376165
0.02588545	0.00679565	0.00418665
0.02588545	0.00676308	0.00453254
0.02588545	0.00662799	0.00474493
0.02588545	0.00651647	0.00484833
0.02588545	0.00647582	0.00487885
0.02588545	0.00643187	0.00490797
0.02588545	0.00628917	0.00497482
0.02588545	0.00603213	0.00502309
0.02588545	0.00566723	0.00501670
0.02588545	0.00520635	0.00494732
0.02588545	0.00466773	0.00477661
0.02588545	0.00405491	0.00452888
0.02588545	0.00338635	0.00418134
0.02588545	0.00267634	0.00372830
0.02588545	0.00193702	0.00316960
0.02588545	0.00117913	0.00250744
0.02588545	0.00041248	0.00174535
