# r_R	chord (mm)	pitch(deg)
1.733333333333333393e-01	2.782747214474920483e+01	5.523646058773962864e+01
1.981333333333333280e-01	2.862985082391771030e+01	5.211172008436158620e+01
2.229333333333333167e-01	2.964795454769628336e+01	4.964852771919959196e+01
2.477333333333333609e-01	3.086462808294507454e+01	4.772520278811227001e+01
2.725333333333333496e-01	3.216441567958570857e+01	4.616558521007094384e+01
2.973333333333333384e-01	3.339443768121815026e+01	4.487415991153307004e+01
3.221333333333333826e-01	3.440006770377926415e+01	4.375337904738035633e+01
3.469333333333333713e-01	3.508739284317950791e+01	4.272304918142562968e+01
3.717333333333333600e-01	3.545904951371103664e+01	4.173052820102940785e+01
3.965333333333333488e-01	3.563721086127723225e+01	4.075599649043951445e+01
4.213333333333333375e-01	3.576154220032877618e+01	3.980432562316206457e+01
4.461333333333333262e-01	3.578321787872096849e+01	3.888668546789309488e+01
4.709333333333334259e-01	3.546019944649356859e+01	3.804945595011766812e+01
4.957333333333333036e-01	3.489842232245293729e+01	3.726277809354674986e+01
5.205333333333334034e-01	3.423568247281708921e+01	3.650457340818039143e+01
5.453333333333334476e-01	3.351114979372965763e+01	3.577301896664935299e+01
5.701333333333333808e-01	3.269595869711531577e+01	3.507295772301313974e+01
5.949333333333334251e-01	3.177626454113116594e+01	3.440447508126348453e+01
6.197333333333333583e-01	3.078499747985182111e+01	3.376353061113681520e+01
6.445333333333334025e-01	2.976769030571386310e+01	3.314708270255843559e+01
6.693333333333333357e-01	2.875169090152568074e+01	3.255439603945747251e+01
6.941333333333333799e-01	2.775402802640492439e+01	3.198563207453423374e+01
7.189333333333333131e-01	2.680057724286515963e+01	3.144019189932293301e+01
7.437333333333333574e-01	2.592631896947475667e+01	3.091489063164744167e+01
7.685333333333334016e-01	2.516466430010695632e+01	3.040765206838831247e+01
7.933333333333334458e-01	2.454856679891595306e+01	2.992451117013220596e+01
8.181333333333333790e-01	2.411694451655439053e+01	2.946918721933578666e+01
8.371435765196104661e-01	2.393025799998359915e+01	2.912800309204387617e+01
8.559455395033899183e-01	2.386944674282552015e+01	2.879176267134057809e+01
8.743332240436572089e-01	2.392032840633645208e+01	2.848701769199785261e+01
8.921051708207187181e-01	2.405654942748336467e+01	2.824420969762601530e+01
9.090666666666668005e-01	2.420546041888259126e+01	2.806407089686872425e+01
9.250318778835910916e-01	2.421612849636916920e+01	2.793554014408731234e+01
9.398258862764642396e-01	2.391975198473978992e+01	2.784066139252907846e+01
9.532866055934887672e-01	2.319173874619303177e+01	2.775505200503743453e+01
9.652665573769904084e-01	2.195973673124609249e+01	2.767405589322701331e+01
9.756344867682632538e-01	2.027151406231188702e+01	2.762172593844485746e+01
9.842768005632676065e-01	1.833942832053354977e+01	2.762375347672506720e+01
9.910988117635451955e-01	1.646549080694712330e+01	2.767008921740785965e+01
9.960257769867880695e-01	1.492323860585370987e+01	2.772458954595900948e+01
1.000000000000000000e+00	1.356646048832530305e+01	2.777090957335650145e+01
